,mining_profitability,date,tweets,confirmation_time,av_transaction_size,send_usd,median_transaction_value,block_size,hashrate,sent_addresses,difficulty,av_transaction_value,top_100_percent,google_trends,active_addresses,median_transaction_size,market_cap,fee_reward,transactions,full_name,coin
0,,2014/10/14,12,,,,,,,,,,,,,,26005,,,ghostcoin,ghostcoin
1,,2014/10/15,91,,,,,,,,,,,,,,30089,,,ghostcoin,ghostcoin
2,,2014/10/16,1,,,,,,,,,,,,,,33820,,,ghostcoin,ghostcoin
3,,2014/10/17,2,,,,,,,,,,,,,,25152,,,ghostcoin,ghostcoin
4,,2014/10/18,3,,,,,,,,,,,,,,21943,,,ghostcoin,ghostcoin
5,,2014/10/19,6,,,,,,,,,,,,,,16978,,,ghostcoin,ghostcoin
6,,2014/10/20,4,,,,,,,,,,,,,,23921,,,ghostcoin,ghostcoin
7,,2014/10/21,4,,,,,,,,,,,,,,30698,,,ghostcoin,ghostcoin
8,,2014/10/22,2,,,,,,,,,,,,,,21353,,,ghostcoin,ghostcoin
9,,2014/10/23,null,,,,,,,,,,,,,,18714,,,ghostcoin,ghostcoin
10,,2014/10/24,null,,,,,,,,,,,,,,11363,,,ghostcoin,ghostcoin
11,,2014/10/25,25,,,,,,,,,,,,,,12855,,,ghostcoin,ghostcoin
12,,2014/10/26,33,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
13,,2014/10/27,null,,,,,,,,,,,,,,19845,,,ghostcoin,ghostcoin
14,,2014/10/28,1,,,,,,,,,,,,,,13461,,,ghostcoin,ghostcoin
15,,2014/10/29,null,,,,,,,,,,,,,,12876,,,ghostcoin,ghostcoin
16,,2014/10/30,null,,,,,,,,,,,,,,12673,,,ghostcoin,ghostcoin
17,,2014/10/31,1,,,,,,,,,,,,,,12184,,,ghostcoin,ghostcoin
18,,2014/11/01,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
19,,2014/11/02,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
20,,2014/11/03,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
21,,2014/11/04,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
22,,2014/11/05,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
23,,2014/11/06,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
24,,2014/11/07,4,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
25,,2014/11/08,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
26,,2014/11/09,null,,,,,,,,,,,,,,8410,,,ghostcoin,ghostcoin
27,,2014/11/10,1,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
28,,2014/11/11,null,,,,,,,,,,,,,,7322,,,ghostcoin,ghostcoin
29,,2014/11/12,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
30,,2014/11/13,4,,,,,,,,,,,,,,18317,,,ghostcoin,ghostcoin
31,,2014/11/14,null,,,,,,,,,,,,,,15226,,,ghostcoin,ghostcoin
32,,2014/11/15,21,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
33,,2014/11/16,1,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
34,,2014/11/17,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
35,,2014/11/18,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
36,,2014/11/19,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
37,,2014/11/20,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
38,,2014/11/21,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
39,,2014/11/22,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
40,,2014/11/23,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
41,,2014/11/24,2,,,,,,,,,,,,,,13254,,,ghostcoin,ghostcoin
42,,2014/11/25,null,,,,,,,,,,,,,,13242,,,ghostcoin,ghostcoin
43,,2014/11/26,null,,,,,,,,,,,,,,12821,,,ghostcoin,ghostcoin
44,,2014/11/27,null,,,,,,,,,,,,,,10172,,,ghostcoin,ghostcoin
45,,2014/11/28,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
46,,2014/11/29,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
47,,2014/11/30,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
48,,2014/12/01,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
49,,2014/12/02,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
50,,2014/12/03,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
51,,2014/12/04,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
52,,2014/12/05,1,,,,,,,,,,,,,,12628,,,ghostcoin,ghostcoin
53,,2014/12/06,null,,,,,,,,,,,,,,11400,,,ghostcoin,ghostcoin
54,,2014/12/07,null,,,,,,,,,,,,,,null,,,ghostcoin,ghostcoin
55,,2014/12/08,null,,,,,,,,,,,,,,9254,,,ghostcoin,ghostcoin
56,,2014/12/09,1,,,,,,,,,,,,,,8688,,,ghostcoin,ghostcoin
57,,2014/12/10,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
58,,2014/12/11,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
59,,2014/12/12,247,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
60,,2014/12/13,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
61,,2014/12/14,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
62,,2014/12/15,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
63,,2014/12/16,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
64,,2014/12/17,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
65,,2014/12/18,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
66,,2014/12/19,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
67,,2014/12/20,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
68,,2014/12/21,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
69,,2014/12/22,4,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
70,,2014/12/23,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
71,,2014/12/24,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
72,,2014/12/25,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
73,,2014/12/26,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
74,,2014/12/27,3,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
75,,2014/12/28,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
76,,2014/12/29,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
77,,2014/12/30,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
78,,2014/12/31,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
79,,2015/01/01,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
80,,2015/01/02,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
81,,2015/01/03,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
82,,2015/01/04,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
83,,2015/01/05,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
84,,2015/01/06,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
85,,2015/01/07,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
86,,2015/01/08,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
87,,2015/01/09,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
88,,2015/01/10,3,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
89,,2014/10/13,,,,,,,,,,,,,,,44504,,,ghostcoin,ghostcoin
